Date,Token0,Token1,FeeTier,TVLUSD,VolumeUSD,FeesUSD,APR
2022-01-18,USDC,ETH,500,252909115.8639040314279586530464684,708882764.8238036618582606914091756,354441.3824119018309291303457045874,=I2*365/G2
2022-01-18,ETH,USDT,500,33343978.39585329443770529966853937,106493846.1672364178152602551980058,53246.92308361820890763012759900287,=I2*365/G2
2022-01-18,ETH,LOOKS,3000,8201403.677199069255972819276721285,90886068.96538880149067188204015668,272658.2068961664044720156461204717,=I2*365/G2
2022-01-18,USDC,ETH,3000,347665289.1846504680007133533202865,86972548.63839892943044900719204438,260917.6459151967882913470215761336,=I2*365/G2
2022-01-18,DAI,ETH,500,28773167.52283220175182243278870743,86281313.97628657131135821409065538,43140.65698814328565567910704532752,=I2*365/G2
2022-01-18,USDC,USDT,100,175507777.467819,79283472.53155322966843458820272272,7928.347253155322966843458820272272,=I2*365/G2
2022-01-18,DAI,ETH,3000,96771354.37654280203593146173507101,40952404.61619025363568413312773013,122857.2138485707609070523993831901,=I2*365/G2
2022-01-18,DAI,USDC,100,52790534.94077424737088911200000002,33560503.57754530599578667406359161,3356.050357754530599578667406359161,=I2*365/G2
2022-01-18,WBTC,ETH,500,66321870.878416648929082168193063,33502781.37829932710766169969610746,16751.39068914966355383084984805369,=I2*365/G2
2022-01-18,USDC,UST,100,3725131.657802399218077099893868602,31313443.695236,3131.3443695236,=I2*365/G2
2022-01-18,ETH,BTRFLY,10000,7518577.449736291707382903357511731,28104058.68421213468155268766079146,281040.5868421213468155268766079146,=I2*365/G2
2022-01-18,ETH,USDT,3000,139323311.8543904243834919530476346,26422994.61271310588438841921314888,79268.98383813931765316525763944653,=I2*365/G2
2022-01-18,WBTC,ETH,3000,330302342.9856710878242448812282985,18953054.55958210775038092830169546,56859.16367874632325114278490508636,=I2*365/G2
2022-01-18,WBTC,USDC,3000,100687570.8649079856844000413697027,16148784.1435526609785854402153015,48446.35243065798293575632064590448,=I2*365/G2
